name                                                                                                 linker               end_to_end           contour              MPP                  SDP                  y_length             side_chain           a                    b                    label(15)            
4mer_2C_body-1_body-1                                                                                0.27598867947873784  18.3248              25.9470              0.5348               3.0659               15.0080              2                    0                    0                    1                    
4mer_2C_body-1_body-1                                                                                0.27598867947873784  17.8722              25.9633              0.5282               2.9332               14.2166              4                    0                    0                    1                    
4mer_2C_body-1_body-1                                                                                0.27598867947873784  18.0052              25.5677              0.4759               2.8706               14.0760              1                    0                    0                    1                    
4mer_2C_body-1_body-1                                                                                0.27598867947873784  18.0239              25.7872              0.2882               2.2116               13.0026              0                    0                    0                    2                    
4mer_2C_body-1_body-1                                                                                0.27598867947873784  17.9583              25.8141              0.4788               2.8973               14.5413              3                    0                    0                    1                    
4mer_2C_body-1_body-1                                                                                0.27598867947873784  18.0197              25.9368              0.5570               3.1764               14.5813              5                    0                    0                    1                    
4mer_2C_body-1_body-14                                                                               0.27598867947873784  23.0648              31.5410              0.8181               3.9362               18.2086              2                    0                    1                    2                    
4mer_2C_body-1_body-14                                                                               0.27598867947873784  21.6937              29.7311              1.6988               4.3470               15.9091              1                    0                    1                    2                    
4mer_2C_body-1_body-14                                                                               0.27598867947873784  20.3090              27.7789              4.4536               8.3301               14.0055              0                    0                    1                    2                    
4mer_2C_body-1_body-14                                                                               0.27598867947873784  22.3219              30.2926              0.6873               3.4131               17.3919              3                    0                    1                    2                    
4mer_2C_body-1_body-14                                                                               0.27598867947873784  22.1813              30.4501              0.8965               3.8902               17.7749              5                    0                    1                    1                    
4mer_2C_body-1_body-15                                                                               0.27598867947873784  22.7120              31.4180              0.8350               3.8894               18.2174              2                    0                    0                    2                    
4mer_2C_body-1_body-15                                                                               0.27598867947873784  24.2083              33.2728              0.7974               3.7526               20.2117              4                    0                    0                    1                    
4mer_2C_body-1_body-15                                                                               0.27598867947873784  19.3935              26.8703              1.6327               4.8518               14.2174              1                    0                    0                    2                    
4mer_2C_body-1_body-15                                                                               0.27598867947873784  21.3006              29.1002              3.8760               7.1155               15.2931              0                    0                    0                    2                    
4mer_2C_body-1_body-15                                                                               0.27598867947873784  22.4607              30.7691              0.8662               3.8688               17.5204              3                    0                    0                    1                    
4mer_2C_body-1_body-15                                                                               0.27598867947873784  23.5252              32.4749              1.0176               4.1450               19.1821              5                    0                    0                    1                    
4mer_2C_body-1_body-16                                                                               0.27598867947873784  27.9363              38.2547              2.7146               6.9702               23.9780              2                    0                    0                    1                    
4mer_2C_body-1_body-16                                                                               0.27598867947873784  28.9696              39.4514              1.1576               5.0866               25.1027              4                    0                    0                    1                    
4mer_2C_body-1_body-16                                                                               0.27598867947873784  20.9358              28.7026              3.5329               7.9067               16.1888              1                    0                    0                    1                    
